Link,Occurred,City,State,Country,Shape,Summary,Reported,Media,Explanation
Open,11/09/2024 11:30,Sandia Park,NM,USA,Oval,"Saw object above a SWA flight. It turned to follow A/C for 3-4 secs, then transited South. Some heading changes. Very fast",11/09/2024,,
Open,11/07/2024 21:17,Hopkins,MN,USA,Formation,U shaped formation of lights moving quickly across the sky shifting inwards and outwards,11/07/2024,,
Open,11/07/2024 21:00,South Bristol,ME,USA,Cube,Bright lites in night sky at approx 25 degrees elevation distance 5-10 miles circular shape,11/08/2024,,
Open !,11/02/2024 20:37,,CA,USA,Triangle,"Triangular formation of lights, Pyramid, sustained interaction.",11/04/2024,Y,
Open,11/02/2024 19:20,Portland,ME,USA,Formation,Saw 3 lights to the SE in a huge triangle formation,11/03/2024,,
Open !,11/01/2024 21:20,Lakeview,OR,USA,Light,Bright white light moving at very high speeds,11/04/2024,Y,
Open,11/01/2024 21:10,Milan,IL,USA,Light,"Watching for landing aircraft, noticed lights on the final approach",11/01/2024,,
Open,10/28/2024 21:16,Tremont,ME,USA,Circle,"Many UAP's flying, stopping in midair, lighting up in a circle, changing altitude - caught on video",10/29/2024,Y,
Open,10/26/2024 19:57,Kimball,SD,USA,Cigar,Saw a cigar shape light flying west to east. Video it. Also checked my flight apps and it was not a plane in the sky.,10/26/2024,Y,Starlink
Open !,10/26/2024 3:15,Minneapolis,MN,USA,Light,White Lights Moving Strangely in the Sky,10/26/2024,Y,
Open,10/25/2024 23:00,Hartshorne,OK,USA,Formation,Two solid small lights a short distance apart moving quickly and low across the sky,11/03/2024,,
Open,10/20/2024 19:30,Allentown,PA,USA,Triangle,2 craft noted. One triangular with white lights. One more circular with orange and white lights,10/21/2024,Y,
Open,10/20/2024 19:16,Titus,AL,USA,Light,Two tiny objects resembling small stars in staggered formation moved silently and rapidly across the sky in a SSW direction.,10/20/2024,,Satellite
Open,10/19/2024 0:03,Morley,MI,USA,Light,"Exactly like Venus in the sky, no trail, didn't fade in or get brighter, stayed a constant brightness, moving too fast for a plane.",10/19/2024,,
Open,10/16/2024 21:55,Santa Rosa,CA,USA,Unknown,Three lights in a row,10/17/2024,Y,
Open !,10/12/2024 21:00,Tillamook,OR,USA,Triangle,"Slow, triangular wing 200 feet overhead",11/07/2024,Y,
Open !,10/10/2024 23:04,Oak Harbor,WA,USA,Orb,I was out looking at the Aurora Borealis and up out of the Dugualla Bay water pops up this Blueish Gray circular Orb.,10/11/2024,Y,
Open,10/07/2024 21:30,Monterey,CA,USA,Chevron,"~7 lights in shape of 120 triangle/chevron, was very high, travelled very fast, silent, lights were similar to satellites",10/09/2024,Y,
Open,10/06/2024 11:40,Arlington,WA,USA,Unknown,"I was walking out the front door, taking my dog out when I saw a very shiny object high in the sky.",10/06/2024,Y,Balloon
